SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Single Family Residential,275 S Bunn St,Anchorage,AK,99508,230000,2,2.0,Anchorage Municipality,792,6780,1998,58,290,,Active,,,https://www.redfin.com/AK/Anchorage/275-Bunn-St-99508/home/131569242,AKMLS,21-16916,N,Y,61.2209734,-149.7986406
MLS Listing,,Condo/Co-op,400 W 76th Ave #201,Anchorage,AK,99518,165000,2,1.0,Anchorage Municipality,903,,1977,60,183,425,Active,,,https://www.redfin.com/AK/Anchorage/400-W-76th-Ave-99518/unit-201/home/131299811,AKMLS,21-16896,N,Y,61.1514173,-149.8896218
MLS Listing,,Condo/Co-op,3271 Montpelier Ct Unit 10B,Anchorage,AK,99503,190000,3,2.0,Anchorage Municipality,1308,,1976,60,145,422,Active,,,https://www.redfin.com/AK/Anchorage/3271-Montpelier-Ct-99503/unit-10-B/home/131322443,AKMLS,21-16876,N,Y,61.1910588,-149.8926363
MLS Listing,,Condo/Co-op,221 E 7th Ave #109,Anchorage,AK,99501,129000,1,1.0,Anchorage Municipality,712,,1967,60,181,312,Active,,,https://www.redfin.com/AK/Anchorage/221-E-7th-Ave-99501/unit-109/home/130979039,AKMLS,21-16866,N,Y,61.2159072,-149.8804321
MLS Listing,,Multi-Family (2-4 Unit),2020 E 72nd Ave,Anchorage,AK,99507,564900,6,5.0,Anchorage Municipality,2984,12196,1981,60,189,,Active,,,https://www.redfin.com/AK/Anchorage/2020-E-72nd-Ave-99507/home/131510368,AKMLS,21-16861,N,Y,61.1553468,-149.8443518
MLS Listing,,Single Family Residential,21650 Graybill St,Chugiak,AK,99567,1950000,9,10.0,Anchorage Municipality,11180,48177,1975,60,174,,Active,,,https://www.redfin.com/AK/Chugiak/21650-Graybill-St-99567/home/131922790,AKMLS,21-16856,N,Y,61.416396,-149.4432908
MLS Listing,,Single Family Residential,8132 Seacliff St,Anchorage,AK,99502,210000,3,1.0,Anchorage Municipality,960,6750,1984,61,219,,Active,,,https://www.redfin.com/AK/Anchorage/8132-Seacliff-St-99502/home/131407341,AKMLS,21-16817,N,Y,61.1468656,-149.9804309
MLS Listing,,Condo/Co-op,6942 Meadow St Unit 2-404,Anchorage,AK,99507,224900,2,2.0,Anchorage Municipality,1001,,2006,62,225,402,Active,,,https://www.redfin.com/AK/Anchorage/6942-Meadow-St-99507/unit-2-404/home/131952133,AKMLS,21-16786,N,Y,61.1575208,-149.8529006
MLS Listing,,Condo/Co-op,5300 E 4th Ave #210,Anchorage,AK,99508,134500,2,2.0,Anchorage Municipality,850,,1983,62,158,316,Active,,,https://www.redfin.com/AK/Anchorage/5300-E-4th-Ave-99508/unit-210/home/131823240,AKMLS,21-16762,N,Y,61.2182101,-149.7819558
MLS Listing,,Condo/Co-op,2650 Lauren Creek Loop #18,Anchorage,AK,99507,265000,3,2.0,Anchorage Municipality,1369,,2002,63,194,164,Active,,,https://www.redfin.com/AK/Anchorage/2650-Lauren-Creek-Loop-99507/unit-18/home/131268687,AKMLS,21-16724,N,Y,61.173123,-149.832455
MLS Listing,,Single Family Residential,5824 Craig Dr,Anchorage,AK,99504,340000,6,3.0,Anchorage Municipality,2789,5419,1973,64,122,,Active,,,https://www.redfin.com/AK/Anchorage/5824-Craig-Dr-99504/home/131109970,AKMLS,21-16666,N,Y,61.2026805,-149.7728276
MLS Listing,,Single Family Residential,18733 S Birchwood Loop Rd,Chugiak,AK,99567,434999,3,3.0,Anchorage Municipality,1520,22688,1998,65,286,,Active,,,https://www.redfin.com/AK/Chugiak/18733-S-Birchwood-Loop-Rd-99567/home/131652248,AKMLS,21-16662,N,Y,61.3896797,-149.5245799
MLS Listing,,Single Family Residential,3914 James Dr,Anchorage,AK,99504,439500,4,2.0,Anchorage Municipality,1824,8200,1966,66,241,,Active,,,https://www.redfin.com/AK/Anchorage/3914-James-Dr-99504/home/131381702,AKMLS,21-16650,N,Y,61.1851925,-149.7380411
MLS Listing,,Vacant Land,Tr B Steamboat Dr,Anchorage,AK,99516,350000,0,,Anchorage Municipality,,3527053,,66,,,Active,,,https://www.redfin.com/AK/Anchorage/Tr-B-Steamboat-Dr-99516/home/172152575,AKMLS,21-16646,N,Y,61.054543,-149.750145
MLS Listing,,Multi-Family (2-4 Unit),7230 E 21st Ave,Anchorage,AK,99504,430000,5,4.0,Anchorage Municipality,2704,7875,1979,67,159,,Active,,,https://www.redfin.com/AK/Anchorage/7230-E-21st-Ave-99504/home/130967649,AKMLS,21-16614,N,Y,61.2018234,-149.7457826
MLS Listing,,Vacant Land,L1 B41A F St,Anchorage,AK,99501,235000,0,,Anchorage Municipality,,7000,,67,,,Active,,,https://www.redfin.com/AK/Anchorage/L1-B41A-F-St-99501/home/177000061,AKMLS,21-16591,N,Y,61.207529,-149.893679
MLS Listing,,Condo/Co-op,7141 Weimer Rd #16,Anchorage,AK,99502,110000,2,1.0,Anchorage Municipality,1010,,1976,67,109,370,Active,,,https://www.redfin.com/AK/Anchorage/7141-Weimer-Rd-99502/unit-16/home/172154849,AKMLS,21-16589,N,Y,61.1559803,-149.9500632
MLS Listing,,Single Family Residential,921 Joham Cir,Anchorage,AK,99515,525000,3,3.0,Anchorage Municipality,2728,7035,1975,67,192,23,Active,,,https://www.redfin.com/AK/Anchorage/921-Joham-Cir-99515/home/131424365,AKMLS,21-16587,N,Y,61.1048663,-149.8645836
MLS Listing,,Single Family Residential,12904 Chapel Dr,Anchorage,AK,99516,445000,4,2.0,Anchorage Municipality,2096,7252,1975,68,212,,Active,,,https://www.redfin.com/AK/Anchorage/12904-Chapel-Dr-99516/home/131215908,AKMLS,21-16575,N,Y,61.1041389,-149.8444074
MLS Listing,,Single Family Residential,10810 Kamishak Bay Cir,Anchorage,AK,99515,515000,5,3.0,Anchorage Municipality,2878,9728,1980,68,179,90,Active,,,https://www.redfin.com/AK/Anchorage/10810-Kamishak-Bay-Cir-99515/home/131208065,AKMLS,21-16556,N,Y,61.122929,-149.9493632
MLS Listing,,Multi-Family (2-4 Unit),808 N Bragaw St,Anchorage,AK,99508,375000,9,4.0,Anchorage Municipality,3840,6250,1969,68,98,,Active,,,https://www.redfin.com/AK/Anchorage/808-N-Bragaw-St-99508/home/131115328,AKMLS,21-16534,N,Y,61.2306613,-149.8089411
MLS Listing,,Multi-Family (2-4 Unit),617 N Flower St,Anchorage,AK,99508,375000,8,4.0,Anchorage Municipality,3456,6247,1965,68,109,,Active,,,https://www.redfin.com/AK/Anchorage/617-N-Flower-St-99508/home/131818655,AKMLS,21-16532,N,Y,61.2290126,-149.8059216
MLS Listing,,Single Family Residential,217 Orange Leaf Cir,Anchorage,AK,99504,188000,2,1.0,Anchorage Municipality,935,3516,1983,69,201,,Active,,,https://www.redfin.com/AK/Anchorage/217-Orange-Leaf-Cir-99504/home/131026522,AKMLS,21-16491,N,Y,61.2218589,-149.7188055
MLS Listing,,Vacant Land,L3 B3 Glenn Hwy,Eagle River,AK,99577,65000,0,,Anchorage Municipality,,59241,,70,,,Active,,,https://www.redfin.com/AK/Eagle-River/L3-B3-Glenn-HWY-99577/home/176981445,AKMLS,21-16476,N,Y,61.3293186,-149.56805
MLS Listing,,Vacant Land,L3-L5 B9 Lynx Way,Eagle River,AK,99577,145000,0,,Anchorage Municipality,,172933,,70,,,Active,,,https://www.redfin.com/AK/Anchorage/L3-L5-B9-Lynx-Way-99577/home/176975911,AKMLS,21-16472,N,Y,61.3137039,-149.4685859
MLS Listing,,Vacant Land,L2-L6 B6 Lower Canyon Dr,Eagle River,AK,99577,90000,0,,Anchorage Municipality,,192535,,70,,,Active,,,https://www.redfin.com/AK/Anchorage/L2-L6-B6-Lower-Canyon-Dr-99577/home/176975843,AKMLS,21-16470,N,Y,61.3123948,-149.4728618
MLS Listing,,Vacant Land,000 E 64th Ave,Anchorage,AK,99518,237585,0,,Anchorage Municipality,,50500,,70,,,Active,,,https://www.redfin.com/AK/Anchorage/1270-E-64th-Ave-99518/home/176974029,AKMLS,21-16460,N,Y,61.1625702,-149.858633
MLS Listing,,Vacant Land,439 Idaho St,Anchorage,AK,99504,80000,0,,Anchorage Municipality,,9258,,71,,,Active,,,https://www.redfin.com/AK/Anchorage/439-Idaho-St-99504/home/172187172,AKMLS,21-16419,N,Y,61.2179794,-149.7366393
MLS Listing,,Single Family Residential,8023 Pioneer Dr,Anchorage,AK,99504,249900,2,2.0,Anchorage Municipality,1138,3767,1981,72,220,,Active,,,https://www.redfin.com/AK/Anchorage/8023-Pioneer-Dr-99504/home/131008632,AKMLS,21-16402,N,Y,61.184657,-149.7301061
MLS Listing,,Single Family Residential,,Anchorage,AK,99516,1150000,2,2.0,Anchorage Municipality,1768,217800,1985,72,650,,Active,,,https://www.redfin.com/AK/Anchorage/Undisclosed-address-99516/home/131065191,AKMLS,21-16399,N,Y,61.0802094,-149.8046646
MLS Listing,,Vacant Land,L28 B3 E 43rd Ave,Anchorage,AK,99508,120000,0,,Anchorage Municipality,,9433,,74,,,Active,,,https://www.redfin.com/AK/Anchorage/L28-B3-E-43rd-Ave-99508/home/172209764,AKMLS,21-16355,N,Y,61.181732,-149.7921708
MLS Listing,,Single Family Residential,420 W 89th Ave,Anchorage,AK,99515,234900,3,2.0,Anchorage Municipality,1764,7500,1983,74,133,,Active,,,https://www.redfin.com/AK/Anchorage/420-W-89th-Ave-99515/home/131396701,AKMLS,21-16343,N,Y,61.1402525,-149.8873168
MLS Listing,,Condo/Co-op,6203 E Tudor Rd #2,Anchorage,AK,99507,175000,2,2.0,Anchorage Municipality,1024,,2008,74,171,280,Active,,,https://www.redfin.com/AK/Anchorage/6203-E-Tudor-Rd-99507/unit-2/home/131006381,AKMLS,21-16332,N,Y,61.1811665,-149.7651792
MLS Listing,,Multi-Family (2-4 Unit),5820 E 4th Ave,Anchorage,AK,99504,450000,8,4.0,Anchorage Municipality,3776,7098,1984,74,119,,Active,,,https://www.redfin.com/AK/Anchorage/5820-E-4th-Ave-99504/home/131376019,AKMLS,21-16330,N,Y,61.2184808,-149.772084
MLS Listing,,Condo/Co-op,333 M St #211,Anchorage,AK,99501,263000,1,2.0,Anchorage Municipality,1218,,1978,74,216,686,Active,,,https://www.redfin.com/AK/Anchorage/333-M-St-99501/unit-211/home/131457040,AKMLS,21-16329,N,Y,61.2187863,-149.9051728
MLS Listing,,Single Family Residential,5810 Big Bend Loop,Anchorage,AK,99502,580000,4,4.0,Anchorage Municipality,3046,9578,2006,75,190,20,Active,,,https://www.redfin.com/AK/Anchorage/5810-Big-Bend-Loop-99502/home/131504602,AKMLS,21-16320,N,Y,61.1432294,-149.9844468
MLS Listing,,Vacant Land,4002 Hayes St,Anchorage,AK,99503,95000,0,,Anchorage Municipality,,8938,,75,,,Active,,,https://www.redfin.com/AK/Anchorage/4002-Hayes-St-99503/home/172211909,AKMLS,21-16307,N,Y,61.184154,-149.9115149
MLS Listing,,Single Family Residential,21930 Judd Cir,Chugiak,AK,99567,394500,4,3.0,Anchorage Municipality,2091,27313,1997,75,189,,Active,,,https://www.redfin.com/AK/Chugiak/21930-Judd-Cir-99567/home/131667052,AKMLS,21-16306,N,Y,61.424701,-149.474482
MLS Listing,,Multi-Family (2-4 Unit),2804 W 30th Ave,Anchorage,AK,99517,575000,8,4.0,Anchorage Municipality,3248,10548,1964,76,177,,Active,,,https://www.redfin.com/AK/Anchorage/2804-W-30th-Ave-99517/home/131378299,AKMLS,21-16271,N,Y,61.1932042,-149.9370142
MLS Listing,,Single Family Residential,3717 Locarno Dr,Anchorage,AK,99508,475000,3,3.0,Anchorage Municipality,1856,9600,1969,76,256,4,Active,,,https://www.redfin.com/AK/Anchorage/3717-Locarno-Dr-99508/home/131358640,AKMLS,21-16233,N,Y,61.1871103,-149.8555423
MLS Listing,,Single Family Residential,14423 Don Cir,Eagle River,AK,99577,529000,4,2.0,Anchorage Municipality,2512,60662,1978,77,211,,Active,,,https://www.redfin.com/AK/Eagle-River/14423-Don-Cir-99577/home/131246056,AKMLS,21-16213,N,Y,61.3509024,-149.5396736
MLS Listing,,Single Family Residential,928 E 9th Ave,Anchorage,AK,99501,220000,3,2.0,Anchorage Municipality,1292,7000,1942,77,170,,Active,,,https://www.redfin.com/AK/Anchorage/928-E-9th-Ave-99501/home/131078773,AKMLS,21-16198,N,Y,61.2133426,-149.8656953
MLS Listing,,Vacant Land,112 Chelsea St,Anchorage,AK,99507,1950000,0,,Anchorage Municipality,,165933,,78,,,Active,,,https://www.redfin.com/AK/Anchorage/112-Chelsea-ST-99507/home/176755190,AKMLS,21-16169,N,Y,61.148769,-149.8010811
MLS Listing,,Vacant Land,6040 Jewel Lake Rd,Anchorage,AK,99502,350000,0,,Anchorage Municipality,,86684,,78,,,Active,,,https://www.redfin.com/AK/Anchorage/6040-Jewel-Lake-Rd-99502/home/173490323,AKMLS,21-16167,N,Y,61.16375,-149.9538948
MLS Listing,,Vacant Land,17227 N Eagle River Loop Rd,Eagle River,AK,99577,2450000,0,,Anchorage Municipality,,1389564,,78,,,Active,,,https://www.redfin.com/AK/Eagle-River/17227-N-Eagle-River-Loop-Rd-99577/home/173441312,AKMLS,21-16165,N,Y,61.328344,-149.5595581
MLS Listing,,Vacant Land,2400 Lake Otis Pkwy,Anchorage,AK,99508,2200000,0,,Anchorage Municipality,,217800,,78,,,Active,,,https://www.redfin.com/AK/Anchorage/2400-Lake-Otis-Pkwy-99508/home/173441390,AKMLS,21-16162,N,Y,61.1993028,-149.8382948
MLS Listing,,Condo/Co-op,6222 E 12th Ave Unit C4,Anchorage,AK,99504,117900,2,1.0,Anchorage Municipality,972,,1977,78,121,397,Active,,,https://www.redfin.com/AK/Anchorage/6222-E-12th-Ave-99504/unit-C4/home/131603752,AKMLS,21-16147,N,Y,61.2109495,-149.7646288
MLS Listing,,Multi-Family (2-4 Unit),4302/4306 Cope St,Anchorage,AK,99503,1147000,21,15.0,Anchorage Municipality,10840,21800,1965,79,106,,Active,,,https://www.redfin.com/AK/Anchorage/4306-Cope-St-99503/home/130996640,AKMLS,21-16123,N,Y,61.1816776,-149.9030648
MLS Listing,,Condo/Co-op,908 Clay Court Ct,Anchorage,AK,99503,296000,3,3.0,Anchorage Municipality,1600,,1975,79,185,320,Active,,,https://www.redfin.com/AK/Anchorage/908-Clay-Ct-99503/unit-03/home/131615481,AKMLS,21-16118,N,Y,61.2009259,-149.8997387
MLS Listing,,Condo/Co-op,8779 Dry Creek Loop Unit 55B,Anchorage,AK,99502,424900,3,3.0,Anchorage Municipality,1916,,2021,79,222,296,Active,,,https://www.redfin.com/AK/Anchorage/8779-Dry-Creek-Loop-99502/unit-55B/home/176745521,AKMLS,21-16114,N,Y,61.139859,-149.9862162
MLS Listing,,Condo/Co-op,8777 Dry Creek Loop Unit 55A,Anchorage,AK,99502,424900,3,3.0,Anchorage Municipality,1916,,2021,79,222,296,Active,,,https://www.redfin.com/AK/Anchorage/8777-Dry-Creek-Loop-99502/unit-55A/home/176745484,AKMLS,21-16112,N,Y,61.139859,-149.9862162
